"zip","city","county","pop"
"60629","Chicago","Cook","107930"
"60618","Chicago","Cook","94646"
"60639","Chicago","Cook","88515"
"60632","Chicago","Cook","86715"
"60647","Chicago","Cook","85658"
"60617","Chicago","Cook","82101"
"60804","Cicero","Cook","81505"
"60608","Chicago","Cook","80011"
"60625","Chicago","Cook","78820"
"60623","Chicago","Cook","77732"
"60634","Chicago","Cook","75604"
"60614","Chicago","Cook","72391"
"60505","Aurora","Kane","71617"
"60085","Waukegan","Lake","71265"
"60657","Chicago","Cook","70489"
"60641","Chicago","Cook","70163"
"60640","Chicago","Cook","69726"
"60620","Chicago","Cook","68761"
"60628","Chicago","Cook","65008"
"60651","Chicago","Cook","63679"
"60402","Berwyn","Cook","62729"
"60073","Round Lake","Lake","61856"
"60619","Chicago","Cook","61372"
"60609","Chicago","Cook","60551"
"60016","Des Plaines","Cook","59663"
"60638","Chicago","Cook","57057"
"60411","Chicago Heights","Cook","56862"
"60506","Aurora","Kane","55895"
"60630","Chicago","Cook","55692"
"60453","Oak Lawn","Cook","55515"
"61761","Normal","Mclean","55198"
"60056","Mount Prospect","Cook","54023"
"60622","Chicago","Cook","52957"
"60616","Chicago","Cook","52557"
"60440","Bolingbrook","Will","52440"
"60148","Lombard","Du Page","52057"
"60004","Arlington Heights","Cook","51504"
"60613","Chicago","Cook","51399"
"60626","Chicago","Cook","51017"
"60120","Elgin","Kane","50319"
"60123","Elgin","Kane","49765"
"60435","Joliet","Will","49461"
"60126","Elmhurst","Du Page","48928"
"60643","Chicago","Cook","48572"
"60649","Chicago","Cook","47084"
"60645","Chicago","Cook","46924"
"60014","Crystal Lake","Mchenry","46866"
"60637","Chicago","Cook","46621"
"60010","Barrington","Lake","46326"
"60644","Chicago","Cook","45919"
"60115","Dekalb","De Kalb","45143"
"60660","Chicago","Cook","45131"
"60540","Naperville","Du Page","43887"
"60659","Chicago","Cook","43843"
"60564","Naperville","Will","43667"
"61265","Moline","Rock Island","42746"
"62040","Granite City","Madison","42487"
"60707","Elmwood Park","Cook","42434"
"60652","Chicago","Cook","42296"
"60047","Lake Zurich","Lake","42242"
"60103","Bartlett","Cook","41845"
"61554","Pekin","Tazewell","41786"
"60025","Glenview","Cook","41552"
"60188","Carol Stream","Du Page","41472"
"60201","Evanston","Cook","41386"
"60615","Chicago","Cook","41198"
"60610","Chicago","Cook","40954"
"60543","Oswego","Kendall","40930"
"62704","Springfield","Sangamon","40754"
"60089","Buffalo Grove","Lake","40749"
"60462","Orland Park","Cook","40067"
"60446","Romeoville","Will","40032"
"60107","Streamwood","Cook","39970"
"60062","Northbrook","Cook","39917"
"60504","Aurora","Du Page","39449"
"60565","Naperville","Du Page","39261"
"60110","Carpentersville","Kane","39094"
"60193","Schaumburg","Cook","38884"
"60563","Naperville","Du Page","38785"
"60090","Wheeling","Cook","38741"
"60067","Palatine","Cook","38660"
"60101","Addison","Du Page","38596"
"61201","Rock Island","Rock Island","38018"
"61820","Champaign","Champaign","38017"
"60133","Hanover Park","Cook","37899"
"60137","Glen Ellyn","Du Page","37857"
"60031","Gurnee","Lake","37636"
"60074","Palatine","Cook","37632"
"60068","Park Ridge","Cook","37407"
"60060","Mundelein","Lake","37268"
"60477","Tinley Park","Cook","36843"
"61704","Bloomington","Mclean","36704"
"60409","Calumet City","Cook","36229"
"60451","New Lenox","Will","36036"
"62025","Edwardsville","Madison","35691"
"60185","West Chicago","Du Page","35581"
"60030","Grayslake","Lake","35440"
"60901","Kankakee","Kankakee","35432"
"61701","Bloomington","Mclean","35411"
"60624","Chicago","Cook","35054"
"60046","Lake Villa","Lake","34849"
"62521","Decatur","Macon","34716"
"61008","Belvidere","Boone","34526"
"61832","Danville","Vermilion","34077"
"60139","Glendale Heights","Du Page","33946"
"60611","Chicago","Cook","33937"
"60441","Lockport","Will","33934"
"60653","Chicago","Cook","33574"
"62702","Springfield","Sangamon","33243"
"61401","Galesburg","Knox","32831"
"60007","Elk Grove Village","Cook","32792"
"60102","Algonquin","Mchenry","32749"
"60098","Woodstock","Mchenry","32599"
"60202","Evanston","Cook","32593"
"62234","Collinsville","Madison","32579"
"60612","Chicago","Cook","32240"
"60517","Woodridge","Du Page","32099"
"60050","Mchenry","Mchenry","32000"
"62269","O Fallon","St. Clair","31755"
"62301","Quincy","Adams","31744"
"60302","Oak Park","Cook","31568"
"60076","Skokie","Cook","31393"
"60423","Frankfort","Will","31328"
"60605","Chicago","Cook","30950"
"61821","Champaign","Champaign","30937"
"62002","Alton","Madison","30937"
"61801","Urbana","Champaign","30855"
"60174","Saint Charles","Kane","30796"
"62526","Decatur","Macon","30627"
"60189","Wheaton","Du Page","30419"
"61107","Rockford","Winnebago","30412"
"60607","Chicago","Cook","30306"
"60525","La Grange","Cook","30274"
"60099","Zion","Lake","30145"
"60636","Chicago","Cook","30039"
"62221","Belleville","St. Clair","30009"
"62703","Springfield","Sangamon","29644"
"60516","Downers Grove","Du Page","29639"
"60187","Wheaton","Du Page","29611"
"60035","Highland Park","Lake","29604"
"61032","Freeport","Stephenson","29451"
"60714","Niles","Cook","29429"
"60181","Villa Park","Du Page","29365"
"61604","Peoria","Peoria","29362"
"60510","Batavia","Kane","29352"
"60048","Libertyville","Lake","29306"
"60142","Huntley","Mchenry","29206"
"60914","Bourbonnais","Kankakee","29192"
"60005","Arlington Heights","Cook","29109"
"61108","Rockford","Winnebago","29084"
"60646","Chicago","Cook","29043"
"60134","Geneva","Kane","29022"
"60656","Chicago","Cook","28982"
"60631","Chicago","Cook","28864"
"61614","Peoria","Peoria","28815"
"60156","Lake In The Hills","Mchenry","28681"
"60532","Lisle","Du Page","28586"
"62226","Belleville","St. Clair","28575"
"60018","Des Plaines","Cook","28477"
"60459","Burbank","Cook","28447"
"60827","Riverdale","Cook","28327"
"60438","Lansing","Cook","28291"
"60538","Montgomery","Kendall","28206"
"60515","Downers Grove","Du Page","27978"
"60426","Harvey","Cook","27863"
"60655","Chicago","Cook","27771"
"60544","Plainfield","Will","27709"
"60077","Skokie","Cook","27653"
"62959","Marion","Williamson","27630"
"60452","Oak Forest","Cook","27605"
"60061","Vernon Hills","Lake","27105"
"60091","Wilmette","Cook","27004"
"60015","Deerfield","Lake","26942"
"60527","Willowbrook","Du Page","26800"
"60175","Saint Charles","Kane","26775"
"60621","Chicago","Cook","26736"
"61822","Champaign","Champaign","26629"
"60013","Cary","Mchenry","26520"
"61109","Rockford","Winnebago","26462"
"62901","Carbondale","Jackson","26318"
"60467","Orland Park","Cook","26056"
"62650","Jacksonville","Morgan","26008"
"60448","Mokena","Will","25878"
"60406","Blue Island","Cook","25849"
"60445","Midlothian","Cook","25411"
"60160","Melrose Park","Cook","25357"
"60087","Waukegan","Lake","25301"
"60560","Yorkville","Kendall","25273"
"61571","Washington","Tazewell","24840"
"60439","Lemont","Du Page","24697"
"60559","Westmont","Du Page","24642"
"61611","East Peoria","Tazewell","24235"
"60172","Roselle","Du Page","24097"
"61350","Ottawa","La Salle","23969"
"61103","Rockford","Winnebago","23951"
"60002","Antioch","Lake","23914"
"60431","Joliet","Will","23860"
"61920","Charleston","Coles","23642"
"60153","Maywood","Cook","23351"
"62864","Mount Vernon","Jefferson","23287"
"61244","East Moline","Rock Island","23194"
"60051","Mchenry","Mchenry","23190"
"60177","South Elgin","Kane","23097"
"60108","Bloomingdale","Du Page","22980"
"60053","Morton Grove","Cook","22937"
"60706","Harwood Heights","Cook","22804"
"61111","Loves Park","Winnebago","22789"
"60561","Darien","Du Page","22674"
"60803","Alsip","Cook","22447"
